run_id,feats,accuracy,EER
20250430_232427,mfcc_30,0.8888888888888888,0.024253285543608123

20250501_164421,fbank_26,0.8172043010752689,0.03524492234169654
20250430_234015,mfcc_30,0.8781362007168458,0.024074074074074074
20250501_125720,mfcc_30,0.8763440860215054,0.022759856630824374
20250430_235510,mfcc_30,0.8853046594982079,0.025268817204301075
20250430_203059,mfcc_30,0.8817204301075269,0.024253285543608123
20250501_184153,mfcc_30,0.8781362007168458,0.025388291517323774
20250430_185630,mfcc_30,0.8763440860215054,0.026583034647550775
20250501_122801,mfcc_30,0.8727598566308243,0.024790919952210274
20250501_124148,mfcc_30,0.8691756272401434,0.026224611708482677
20250501_182617,mfcc_30,0.8745519713261649,0.026045400238948625
20250501_180954,mfcc_30,0.8799283154121864,0.023655913978494623
20250430_184229,mfcc_20,0.8691756272401434,0.03805256869772999
20250430_201604,mfcc_20,0.8709677419354839,0.03745519713261649
20250501_170508,fbank_40,0.8440860215053764,0.028853046594982078
20250430_191452,mfcc_40,0.8584229390681004,0.026224611708482677
20250430_205227,mfcc_40,0.8512544802867383,0.024970131421744327
